member_ID,member_name,photo_link,team_ID
1,Ambati Rayudu,/static/images/teams/CSK/Ambati Rayudu.png,1
2,Deepak Chahar,/static/images/teams/CSK/Deepak Chahar.png,1
3,Dwayne Bravo,/static/images/teams/CSK/Dwayne Bravo.png,1
4,Faf du Plessis,/static/images/teams/CSK/Faf du Plessis.png,1
5,Imran Tahir,/static/images/teams/CSK/Imran Tahir.png,1
6,Josh Hazlewood,/static/images/teams/CSK/Josh Hazlewood.png,1
7,Karn Sharma,/static/images/teams/CSK/Karn Sharma.png,1
8,Kedar Jadhav,/static/images/teams/CSK/Kedar Jadhav.png,1
9,KM Asif,/static/images/teams/CSK/KM Asif.png,1
10,Lungi Ngidi,/static/images/teams/CSK/Lungi Ngidi.png,1
11,Mitchell Santner,/static/images/teams/CSK/Mitchell Santner.png,1
12,Monu Kumar,/static/images/teams/CSK/Monu Kumar.png,1
13,MS Dhoni,/static/images/teams/CSK/MS Dhoni.png,1
14,Murali Vijay,/static/images/teams/CSK/Murali Vijay.png,1
15,Narayan Jagadeesan,/static/images/teams/CSK/Narayan Jagadeesan.png,1
16,Piyush Chawla,/static/images/teams/CSK/Piyush Chawla.png,1
17,R Sai Kishore,/static/images/teams/CSK/R Sai Kishore.png,1
18,Ravindra Jadeja,/static/images/teams/CSK/Ravindra Jadeja.png,1
19,Ruturaj Gaikwad,/static/images/teams/CSK/Ruturaj Gaikwad.png,1
20,Sam Curran,/static/images/teams/CSK/Sam Curran.png,1
21,Shane Watson,/static/images/teams/CSK/Shane Watson.png,1
22,Shardul Thakur,/static/images/teams/CSK/Shardul Thakur.png,1
23,Ajinkya Rahane,/static/images/teams/DC/Ajinkya Rahane.png,3
24,Alex Carey,/static/images/teams/DC/Alex Carey.png,3
25,Amit Mishra,/static/images/teams/DC/Amit Mishra.png,3
26,Anrich Nortje,/static/images/teams/DC/Anrich Nortje.png,3
27,Avesh Khan,/static/images/teams/DC/Avesh Khan.png,3
28,Axar Patel,/static/images/teams/DC/Axar Patel.png,3
29,Daniel Sams,/static/images/teams/DC/Daniel Sams.png,3
30,Harshal Patel,/static/images/teams/DC/Harshal Patel.png,3
31,Ishant Sharma,/static/images/teams/DC/Ishant Sharma.png,3
32,Kagiso Rabada,/static/images/teams/DC/Kagiso Rabada.png,3
33,Keemo Paul,/static/images/teams/DC/Keemo Paul.png,3
34,Lalith Yadav,/static/images/teams/DC/Lalith Yadav.png,3
35,Marcus Stoinis,/static/images/teams/DC/Marcus Stoinis.png,3
36,Mohit Sharma,/static/images/teams/DC/Mohit Sharma.png,3
37,Prithvi Shaw,/static/images/teams/DC/Prithvi Shaw.png,3
38,Ravichandran Ashwin,/static/images/teams/DC/Ravichandran Ashwin.png,3
39,Rishabh Pant,/static/images/teams/DC/Rishabh Pant.png,3
40,Sandeep Lamichhane,/static/images/teams/DC/Sandeep Lamichhane.png,3
41,Shikhar Dhawan,/static/images/teams/DC/Shikhar Dhawan.png,3
42,Shimron Hetmyer,/static/images/teams/DC/Shimron Hetmyer.png,3
43,Shreyas Iyer,/static/images/teams/DC/Shreyas Iyer.png,3
44,Tushar Deshpande,/static/images/teams/DC/Tushar Deshpande.png,3
45,Ali Khan,/static/images/teams/KKR/Ali Khan.png,8
46,Andre Russell,/static/images/teams/KKR/Andre Russell.png,8
47,Chris Green,/static/images/teams/KKR/Chris Green.png,8
48,Dinesh Karthik,/static/images/teams/KKR/Dinesh Karthik.png,8
49,Eoin Morgan,/static/images/teams/KKR/Eoin Morgan.png,8
50,Kamlesh Nagarkoti,/static/images/teams/KKR/Kamlesh Nagarkoti.png,8
51,Kuldeep Yadav,/static/images/teams/KKR/Kuldeep Yadav.png,8
52,Lockie Ferguson,/static/images/teams/KKR/Lockie Ferguson.png,8
53,M Siddharth,/static/images/teams/KKR/M Siddharth.png,8
54,Nikhil Naik,/static/images/teams/KKR/Nikhil Naik.png,8
55,Nitish Rana,/static/images/teams/KKR/Nitish Rana.png,8
56,Pat Cummins,/static/images/teams/KKR/Pat Cummins.png,8
57,Prasidh Krishna,/static/images/teams/KKR/Prasidh Krishna.png,8
58,Rahul Tripathi,/static/images/teams/KKR/Rahul Tripathi.png,8
59,Rinku Singh,/static/images/teams/KKR/Rinku Singh.png,8
60,Sandeep Warrier,/static/images/teams/KKR/Sandeep Warrier.png,8
61,Shivam Mavi,/static/images/teams/KKR/Shivam Mavi.png,8
62,Shubman Gill,/static/images/teams/KKR/Shubman Gill.png,8
63,Siddhesh Lad,/static/images/teams/KKR/Siddhesh Lad.png,8
64,Sunil Narine,/static/images/teams/KKR/Sunil Narine.png,8
65,Tom Banton,/static/images/teams/KKR/Tom Banton.png,8
66,Varun Chakravarthy,/static/images/teams/KKR/Varun Chakravarthy.png,8
67,Arshdeep Singh,/static/images/teams/KXIP/Arshdeep Singh.png,6
68,Chris Gayle,/static/images/teams/KXIP/Chris Gayle.png,6
69,Chris Jordan,/static/images/teams/KXIP/Chris Jordan.png,6
70,Darshan Nalkande,/static/images/teams/KXIP/Darshan Nalkande.png,6
71,Deepak Hooda,/static/images/teams/KXIP/Deepak Hooda.png,6
72,Glenn Maxwell,/static/images/teams/KXIP/Glenn Maxwell.png,6
73,Hardus Viljoen,/static/images/teams/KXIP/Hardus Viljoen.png,6
74,Harpreet Brar,/static/images/teams/KXIP/Harpreet Brar.png,6
75,Ishan Porel,/static/images/teams/KXIP/Ishan Porel.png,6
76,Jagadeesha Suchith,/static/images/teams/KXIP/Jagadeesha Suchith.png,6
77,Jimmy Neesham,/static/images/teams/KXIP/Jimmy Neesham.png,6
78,Karun Nair,/static/images/teams/KXIP/Karun Nair.png,6
79,KL Rahul,/static/images/teams/KXIP/KL Rahul.png,6
80,Krishnappa Gowtham,/static/images/teams/KXIP/Krishnappa Gowtham.png,6
81,Mandeep Singh,/static/images/teams/KXIP/Mandeep Singh.png,6
82,Mayank Agarwal,/static/images/teams/KXIP/Mayank Agarwal.png,6
83,Mohammad Shami,/static/images/teams/KXIP/Mohammad Shami.png,6
84,Mujeeb Ur Rahman,/static/images/teams/KXIP/Mujeeb Ur Rahman.png,6
85,Murugan Ashwin,/static/images/teams/KXIP/Murugan Ashwin.png,6
86,Nicholas Pooran,/static/images/teams/KXIP/Nicholas Pooran.png,6
87,Ravi Bishnoi,/static/images/teams/KXIP/Ravi Bishnoi.png,6
88,Sarfaraz Khan,/static/images/teams/KXIP/Sarfaraz Khan.png,6
89,Sheldon Cottrell,/static/images/teams/KXIP/Sheldon Cottrell.png,6
90,Simran Singh,/static/images/teams/KXIP/Simran Singh.png,6
91,Tajinder Singh,/static/images/teams/KXIP/Tajinder Singh.png,6
92,Aditya Tare,/static/images/teams/MI/Aditya Tare.png,7
93,Anmolpreet Singh,/static/images/teams/MI/Anmolpreet Singh.png,7
94,Anukul Roy,/static/images/teams/MI/Anukul Roy.png,7
95,Chris Lynn,/static/images/teams/MI/Chris Lynn.png,7
96,Dhawal Kulkarni,/static/images/teams/MI/Dhawal Kulkarni.png,7
97,Digvijay Deshmukh,/static/images/teams/MI/Digvijay Deshmukh.png,7
98,Hardik Pandya,/static/images/teams/MI/Hardik Pandya.png,7
99,Ishan Kishan,/static/images/teams/MI/Ishan Kishan.png,7
100,James Pattinson,/static/images/teams/MI/James Pattinson.png,7
101,Jasprit Bumrah,/static/images/teams/MI/Jasprit Bumrah.png,7
102,Jayant Yadav,/static/images/teams/MI/Jayant Yadav.png,7
103,Kieron Pollard,/static/images/teams/MI/Kieron Pollard.png,7
104,Krunal Pandya,/static/images/teams/MI/Krunal Pandya.png,7
105,Mitchell McClenaghan,/static/images/teams/MI/Mitchell McClenaghan.png,7
106,Mohsin Khan,/static/images/teams/MI/Mohsin Khan.png,7
107,Nathan Coulter-Nile,/static/images/teams/MI/Nathan Coulter-Nile.png,7
108,Prince Balwant Rai Singh,/static/images/teams/MI/Prince Balwant Rai Singh.png,7
109,Quinton de Kock,/static/images/teams/MI/Quinton de Kock.png,7
110,Rahul Chahar,/static/images/teams/MI/Rahul Chahar.png,7
111,Rohit Sharma,/static/images/teams/MI/Rohit Sharma.png,7
112,Saurabh Tiwary,/static/images/teams/MI/Saurabh Tiwary.png,7
113,Sherfane Rutherford,/static/images/teams/MI/Sherfane Rutherford.png,7
114,Suryakumar Yadav,/static/images/teams/MI/Suryakumar Yadav.png,7
115,Trent Boult,/static/images/teams/MI/Trent Boult.png,7
116,Aaron Finch,/static/images/teams/RCB/Aaron Finch.png,2
117,AB de Villiers,/static/images/teams/RCB/AB de Villiers.png,2
118,Adam Zampa,/static/images/teams/RCB/Adam Zampa.png,2
119,Chris Morris,/static/images/teams/RCB/Chris Morris.png,2
120,Dale Steyn,/static/images/teams/RCB/Dale Steyn.png,2
121,Devdutt Padikkal,/static/images/teams/RCB/Devdutt Padikkal.png,2
122,Gurkeerat Mann Singh,/static/images/teams/RCB/Gurkeerat Mann Singh.png,2
123,Isuru Udana,/static/images/teams/RCB/Isuru Udana.png,2
124,Josh Philippe,/static/images/teams/RCB/Josh Philippe.png,2
125,Moeen Ali,/static/images/teams/RCB/Moeen Ali.png,2
126,Mohammed Siraj,/static/images/teams/RCB/Mohammed Siraj.png,2
127,Navdeep Saini,/static/images/teams/RCB/Navdeep Saini.png,2
128,Parthiv Patel,/static/images/teams/RCB/Parthiv Patel.png,2
129,Pavan Deshpande,/static/images/teams/RCB/Pavan Deshpande.png,2
130,Pawan Negi,/static/images/teams/RCB/Pawan Negi.png,2
131,Shahbaz Ahamad,/static/images/teams/RCB/Shahbaz Ahamad.png,2
132,Shivam Dube,/static/images/teams/RCB/Shivam Dube.png,2
133,Umesh Yadav,/static/images/teams/RCB/Umesh Yadav.png,2
134,Virat Kohli,/static/images/teams/RCB/Virat Kohli.png,2
135,Washington Sundar,/static/images/teams/RCB/Washington Sundar.png,2
136,Yuzvendra Chahal,/static/images/teams/RCB/Yuzvendra Chahal.png,2
137,Akash Singh,/static/images/teams/RR/Akash Singh.png,4
138,Andrew Tye,/static/images/teams/RR/Andrew Tye.png,4
139,Anirudha Joshi,/static/images/teams/RR/Anirudha Joshi.png,4
140,Ankit Rajpoot,/static/images/teams/RR/Ankit Rajpoot.png,4
141,Anuj Rawat,/static/images/teams/RR/Anuj Rawat.png,4
142,Ben Stokes,/static/images/teams/RR/Ben Stokes.png,4
143,David Miller,/static/images/teams/RR/David Miller.png,4
144,Jaydev Unadkat,/static/images/teams/RR/Jaydev Unadkat.png,4
145,Jofra Archer,/static/images/teams/RR/Jofra Archer.png,4
146,Jos Buttler,/static/images/teams/RR/Jos Buttler.png,4
147,Kartik Tyagi,/static/images/teams/RR/Kartik Tyagi.png,4
148,Mahipal Lomror,/static/images/teams/RR/Mahipal Lomror.png,4
149,Manan Vohra,/static/images/teams/RR/Manan Vohra.png,4
150,Mayank Markande,/static/images/teams/RR/Mayank Markande.png,4
151,Oshane Thomas,/static/images/teams/RR/Oshane Thomas.png,4
152,Rahul Tewatia,/static/images/teams/RR/Rahul Tewatia.png,4
153,Riyan Parag,/static/images/teams/RR/Riyan Parag.png,4
154,Robin Uthappa,/static/images/teams/RR/Robin Uthappa.png,4
155,Sanju Samson,/static/images/teams/RR/Sanju Samson.png,4
156,Shashank Singh,/static/images/teams/RR/Shashank Singh.png,4
157,Shreyas Gopal,/static/images/teams/RR/Shreyas Gopal.png,4
158,Steve Smith,/static/images/teams/RR/Steve Smith.png,4
159,Tom Curran,/static/images/teams/RR/Tom Curran.png,4
160,Varun Aaron,/static/images/teams/RR/Varun Aaron.png,4
161,Yashasvi Jaiswal,/static/images/teams/RR/Yashasvi Jaiswal.png,4
162,Abdul Samad,/static/images/teams/SRH/Abdul Samad.png,5
163,Abhishek Sharma,/static/images/teams/SRH/Abhishek Sharma.png,5
164,Basil Thampi,/static/images/teams/SRH/Basil Thampi.png,5
165,Bhuvneshwar Kumar,/static/images/teams/SRH/Bhuvneshwar Kumar.png,5
166,Billy Stanlake,/static/images/teams/SRH/Billy Stanlake.png,5
167,David Warner,/static/images/teams/SRH/David Warner.png,5
168,Fabian Allen,/static/images/teams/SRH/Fabian Allen.png,5
169,Jason Holder,/static/images/teams/SRH/Jason Holder.png,5
170,Jonny Bairstow,/static/images/teams/SRH/Jonny Bairstow.png,5
171,Kane Williamson,/static/images/teams/SRH/Kane Williamson.png,5
172,Khaleel Ahmed,/static/images/teams/SRH/Khaleel Ahmed.png,5
173,Manish Pandey,/static/images/teams/SRH/Manish Pandey.png,5
174,Mitchell Marsh,/static/images/teams/SRH/Mitchell Marsh.png,5
175,Mohammad Nabi,/static/images/teams/SRH/Mohammad Nabi.png,5
176,Priyam Garg,/static/images/teams/SRH/Priyam Garg.png,5
177,Rashid Khan,/static/images/teams/SRH/Rashid Khan.png,5
178,Sandeep Bavanaka,/static/images/teams/SRH/Sandeep Bavanaka.png,5
179,Sandeep Sharma,/static/images/teams/SRH/Sandeep Sharma.png,5
180,Sanjay Yadav,/static/images/teams/SRH/Sanjay Yadav.png,5
181,Shahbaz Nadeem,/static/images/teams/SRH/Shahbaz Nadeem.png,5
182,Shreevats Goswami,/static/images/teams/SRH/Shreevats Goswami.png,5
183,Siddarth Kaul,/static/images/teams/SRH/Siddarth Kaul.png,5
184,T Natarajan,/static/images/teams/SRH/T Natarajan.png,5
185,Vijay Shankar,/static/images/teams/SRH/Vijay Shankar.png,5
186,Virat Singh,/static/images/teams/SRH/Virat Singh.png,5
187,Wriddhiman Saha,/static/images/teams/SRH/Wriddhiman Saha.png,5
